Country,Commodity type,srcYear,Imports or exports,Quantity of imports or exports of principal agricultural commodities ,Value of imports or exports of principal agricultural commodities ,YearCode,Year
India,Tobacco unmanufactured,2010-11,Imports,1.32,44.61,2010,"Financial Year (Apr - Mar), 2010"
India,Pulses,2010-11,Imports,2777.83,7512.49,2010,"Financial Year (Apr - Mar), 2010"
India,Other cereals,2010-11,Imports,30.68,59.53,2010,"Financial Year (Apr - Mar), 2010"
India,Wheat,2010-11,Imports,185.28,255.84,2010,"Financial Year (Apr - Mar), 2010"
India,Rice (other than Basmati),2010-11,Imports,0.19,0.92,2010,"Financial Year (Apr - Mar), 2010"
India,Rice- Basmati,2010-11,Imports,0,0,2010,"Financial Year (Apr - Mar), 2010"
India,Marine products,2010-11,Exports,785.07,11917.11,2010,"Financial Year (Apr - Mar), 2010"
India,Alcoholic beverages,2010-11,Exports,,819.86,2010,"Financial Year (Apr - Mar), 2010"
India,Floriculture products,2010-11,Exports,,296.04,2010,"Financial Year (Apr - Mar), 2010"
India,Poultry products,2010-11,Exports,,314.33,2010,"Financial Year (Apr - Mar), 2010"
India,Dairy products,2010-11,Exports,,1216.76,2010,"Financial Year (Apr - Mar), 2010"
India,Tea,2011-12,Exports,271.98,4078.53,2011,"Financial Year (Apr - Mar), 2011"
India,Other oil seeds,2010-11,Imports,44.95,74.76,2010,"Financial Year (Apr - Mar), 2010"
India,Processed meat,2010-11,Exports,0.92,13.96,2010,"Financial Year (Apr - Mar), 2010"
India,Other meat,2010-11,Exports,1.03,9.51,2010,"Financial Year (Apr - Mar), 2010"
India,Sheep/goat meat,2010-11,Exports,12.3,258.83,2010,"Financial Year (Apr - Mar), 2010"
India,Buffalo meat,2010-11,Exports,726.66,8613.31,2010,"Financial Year (Apr - Mar), 2010"
India,Niger seeds,2010-11,Imports,0.23,0.79,2010,"Financial Year (Apr - Mar), 2010"
India,Animal casings,2010-11,Exports,1.8,33.24,2010,"Financial Year (Apr - Mar), 2010"
India,Misc processed items,2010-11,Exports,,1065.48,2010,"Financial Year (Apr - Mar), 2010"
India,Milled products,2010-11,Exports,99.1,197.06,2010,"Financial Year (Apr - Mar), 2010"
India,Cocoa products,2010-11,Exports,9.08,126.97,2010,"Financial Year (Apr - Mar), 2010"
India,Vegetable oils,2010-11,Imports,6039.02,25919.59,2010,"Financial Year (Apr - Mar), 2010"
India,Oil meals,2010-11,Imports,79.22,75.03,2010,"Financial Year (Apr - Mar), 2010"
India,Cereal preparations,2010-11,Exports,213.58,1264.15,2010,"Financial Year (Apr - Mar), 2010"
India,Guargam meal,2010-11,Imports,0.09,2.66,2010,"Financial Year (Apr - Mar), 2010"
India,Sesame seeds,2010-11,Imports,8.73,37.66,2010,"Financial Year (Apr - Mar), 2010"
India,Castor oil,2010-11,Imports,0.01,0.91,2010,"Financial Year (Apr - Mar), 2010"
India,Shellac,2010-11,Imports,3.29,50.55,2010,"Financial Year (Apr - Mar), 2010"
India,Processed fruits and juices,2010-11,Exports,,1859.96,2010,"Financial Year (Apr - Mar), 2010"
India,Sugar,2010-11,Imports,1034.58,2789.54,2010,"Financial Year (Apr - Mar), 2010"
India,Cashew nut shell liquid,2010-11,Imports,0.04,0.07,2010,"Financial Year (Apr - Mar), 2010"
India,Mollases,2010-11,Imports,7.29,6.15,2010,"Financial Year (Apr - Mar), 2010"
India,Fruits/vegetable seeds,2010-11,Imports,11.14,291.22,2010,"Financial Year (Apr - Mar), 2010"
India,Processed vegetables,2010-11,Exports,,747.92,2010,"Financial Year (Apr - Mar), 2010"
India,Wheat,2011-12,Imports,0.02,0.08,2011,"Financial Year (Apr - Mar), 2011"
India,Fresh fruits,2010-11,Imports,630.23,3586.51,2010,"Financial Year (Apr - Mar), 2010"
India,Cashew,2010-11,Imports,529.73,2649.07,2010,"Financial Year (Apr - Mar), 2010"
India,Fresh vegetables,2010-11,Imports,16.61,40.6,2010,"Financial Year (Apr - Mar), 2010"
India,Processed vegetables,2010-11,Imports,,117.48,2010,"Financial Year (Apr - Mar), 2010"
India,Fresh vegetables,2010-11,Exports,1660.25,2620.48,2010,"Financial Year (Apr - Mar), 2010"
